number,white_ball_times_drawn,white_ball_pct,mega_ball_times_drawn,mega_ball_pct
1,61,6.69,40,4.39
2,64,7.02,34,3.73
3,77,8.44,36,3.95
4,66,7.24,40,4.39
5,58,6.36,27,2.96
6,64,7.02,34,3.73
7,61,6.69,36,3.95
8,73,8.0,29,3.18
9,57,6.25,41,4.5
10,85,9.32,35,3.84
11,74,8.11,42,4.61
12,60,6.58,39,4.28
13,65,7.13,38,4.17
14,76,8.33,34,3.73
15,69,7.57,28,3.07
16,66,7.24,37,4.06
17,81,8.88,37,4.06
18,72,7.89,44,4.82
19,69,7.57,39,4.28
20,71,7.79,32,3.51
21,61,6.69,31,3.4
22,73,8.0,47,5.15
23,54,5.92,29,3.18
24,71,7.79,47,5.15
25,63,6.91,36,3.95
26,68,7.46,,
27,65,7.13,,
28,61,6.69,,
29,68,7.46,,
30,68,7.46,,
31,80,8.77,,
32,59,6.47,,
33,68,7.46,,
34,62,6.8,,
35,56,6.14,,
36,56,6.14,,
37,63,6.91,,
38,76,8.33,,
39,64,7.02,,
40,71,7.79,,
41,58,6.36,,
42,77,8.44,,
43,74,8.11,,
44,66,7.24,,
45,53,5.81,,
46,71,7.79,,
47,58,6.36,,
48,68,7.46,,
49,57,6.25,,
50,55,6.03,,
51,49,5.37,,
52,67,7.35,,
53,63,6.91,,
54,57,6.25,,
55,58,6.36,,
56,67,7.35,,
57,62,6.8,,
58,73,8.0,,
59,68,7.46,,
60,57,6.25,,
61,64,7.02,,
62,68,7.46,,
63,62,6.8,,
64,72,7.89,,
65,52,5.7,,
66,73,8.0,,
67,52,5.7,,
68,58,6.36,,
69,62,6.8,,
70,63,6.91,,
